sample_delay_us,ch1_mV
1.250000000000000000e+01,8.670289999999999964e+01
1.250999999999999979e+01,8.670289999999999964e+01
1.251999999999999957e+01,8.670289999999999964e+01
1.253000000000000114e+01,8.670289999999999964e+01
1.253999999999999915e+01,8.670289999999999964e+01
1.255000000000000071e+01,8.670289999999999964e+01
1.255999999999999872e+01,8.670289999999999964e+01
1.257000000000000028e+01,8.670289999999999964e+01
1.258000000000000007e+01,8.670289999999999964e+01
1.258999999999999986e+01,8.670289999999999964e+01
1.259999999999999964e+01,8.670289999999999964e+01
1.260999999999999943e+01,8.670289999999999964e+01
1.262000000000000099e+01,8.670289999999999964e+01
1.262999999999999901e+01,8.670289999999999964e+01
1.264000000000000057e+01,8.670289999999999964e+01
1.265000000000000036e+01,8.670289999999999964e+01
1.266000000000000014e+01,8.670289999999999964e+01
1.266999999999999993e+01,8.670289999999999964e+01
1.267999999999999972e+01,8.670289999999999964e+01
1.268999999999999950e+01,8.670289999999999964e+01
1.269999999999999929e+01,8.670289999999999964e+01
1.271000000000000085e+01,8.670289999999999964e+01
1.271999999999999886e+01,8.670289999999999964e+01
1.273000000000000043e+01,8.670289999999999964e+01
1.274000000000000021e+01,8.670289999999999964e+01
1.275000000000000000e+01,8.670289999999999964e+01
1.275999999999999979e+01,8.670289999999999964e+01
1.276999999999999957e+01,8.670289999999999964e+01
1.277999999999999936e+01,8.670289999999999964e+01
1.278999999999999915e+01,8.670289999999999964e+01
1.280000000000000071e+01,8.670289999999999964e+01
1.281000000000000050e+01,8.670289999999999964e+01
1.282000000000000028e+01,8.670289999999999964e+01
1.283000000000000007e+01,8.670289999999999964e+01
1.283999999999999986e+01,8.670289999999999964e+01
1.284999999999999964e+01,8.670289999999999964e+01
1.285999999999999943e+01,8.670289999999999964e+01
1.286999999999999922e+01,8.670289999999999964e+01
1.287999999999999901e+01,8.670289999999999964e+01
1.289000000000000057e+01,8.670289999999999964e+01
1.290000000000000036e+01,8.670289999999999964e+01
1.291000000000000014e+01,8.670289999999999964e+01
1.291999999999999993e+01,8.670289999999999964e+01
1.292999999999999972e+01,8.670289999999999964e+01
1.293999999999999950e+01,8.670289999999999964e+01
1.294999999999999929e+01,8.670289999999999964e+01
1.296000000000000085e+01,8.670289999999999964e+01
